,microbe_0,microbe_1,microbe_2,microbe_3,microbe_4,microbe_5,microbe_6,microbe_7,microbe_8,microbe_9,microbe_10,microbe_11,microbe_12,microbe_13,microbe_14,microbe_15,microbe_16,microbe_17,microbe_18,microbe_19,microbe_20,microbe_21,microbe_22,microbe_23,microbe_24,microbe_25,microbe_26,microbe_27,microbe_28,microbe_29,microbe_30,microbe_31,microbe_32,microbe_33,microbe_34,microbe_35,microbe_36,microbe_37,microbe_38,microbe_39,microbe_40,microbe_41,microbe_42,microbe_43,microbe_44,microbe_45,microbe_46,microbe_47,microbe_48,microbe_49
microbe_32,0.019549064,-0.06139949,-0.049784195,-0.010001391,0.3267696,-0.014323742,0.056236748,-0.028873907,-0.005236054,-0.013617414,0.0028063722,0.002579609,-0.08831551,0.10678418,0.081325196,0.017471196,0.022258129,0.07382729,-0.0029485945,-0.06685728,0.08906899,0.017267037,0.019744974,0.0004900365,0.048945736,-0.0016172298,0.12201134,0.032766275,0.2573711,0.010864534,0.0029848889,0.02773196,-0.9845056,0.07258812,0.008563455,-0.0074222805,0.042032924,0.024628285,0.11665996,-0.021418532,-0.05882389,0.043359846,0.053071488,-0.0009534625,0.2341998,0.3166089,0.35368505,-0.058328044,0.13951594,-0.013173624
microbe_33,0.0011773204,0.02130153,-0.04456516,-0.048131265,0.20173751,0.0097114155,-0.2891599,0.12929799,-0.018694099,-0.044112515,0.020477068,-0.030877642,-0.03790707,0.031274255,-0.02874694,0.04085505,-0.026169516,0.05861451,-0.003212108,0.04650656,0.17626448,0.0101487525,-0.018740833,0.009916496,0.04208166,0.002632409,0.1321852,0.03166613,0.14357086,-0.14890084,-0.026693257,-0.020284194,-0.040990278,-0.94034916,-0.043727294,-0.038543656,0.054318182,-0.026818443,0.102408126,0.037914585,0.0060337815,-0.007699204,-0.013300895,-0.036817394,0.15831517,0.07847045,0.320189,0.012366661,-0.13918023,0.0044186004
microbe_34,0.011660759,0.005433467,-0.05066833,-0.05789487,0.11143395,-0.018100966,0.051947817,-0.029638225,-0.018313698,-0.017561551,0.017866332,-0.0020437888,-0.0027622613,0.078761876,-0.025832681,-0.1596951,0.0029999367,0.0421838,-0.010471201,-0.024508307,0.12600638,0.0056064376,0.004166327,-0.0047678715,0.041365426,-0.010443565,0.1093853,0.026898995,0.23113023,-0.0008026512,-0.0040146457,0.011181916,-0.020796824,0.08355659,-0.9839828,-0.01058625,0.1323491,0.013930854,0.091609344,0.0062182704,-0.013550235,0.014185272,0.059790697,-0.005146765,0.23120555,0.07909323,0.3351627,-0.008502147,0.20672752,-0.010368385
microbe_35,0.014707721,0.010930129,0.28387642,-0.019429954,0.33018777,-0.06690136,0.06179834,-0.049620666,-0.015675243,-0.013700841,0.023324883,0.00096580776,-0.001259539,0.095695026,-0.021319192,0.007876696,0.008985007,0.049319632,-0.0036329918,-0.02752806,0.09970601,0.050897032,0.009886585,0.0042982297,-0.10344943,-0.0051141772,0.20298506,0.023795523,0.34471792,0.017018976,-0.13603589,0.019463804,-0.019382466,0.085683696,0.003707428,-0.9772416,0.022200707,0.017594889,0.11030919,0.012461774,-0.0117086675,0.024469487,0.03363459,-0.0071722884,0.24828786,0.08092049,0.29699266,-0.008670967,0.14679837,-0.013730775
microbe_36,0.021209832,-0.006244204,-0.042281,-0.011714119,0.06095149,-0.01643535,0.0384311,-0.029350454,-0.014111875,-0.014123179,0.018782984,-0.0053405655,-0.0054077567,0.00480706,-0.010877706,0.1799393,0.00012853336,0.01860394,-0.0010319881,-0.026024077,-0.0008833193,-0.04887912,-0.0070576947,-0.0017265934,0.030242804,-0.025678981,0.2441949,-0.042313334,0.14107588,0.005725583,-0.0077445875,0.018090658,-0.019090967,-0.1799667,-0.052345365,-0.011033858,-0.9789325,0.015370822,0.02451205,-0.0062861755,-0.012406619,0.010028438,0.034155596,-0.009709691,0.14253071,-0.0064817974,-0.024809634,-0.01311381,0.14686511,-0.06648866
microbe_37,0.023765408,0.0029272353,-0.055441014,-0.018928738,0.36763525,-0.01983188,0.06023931,-0.033009227,-0.009705481,-0.014643063,0.026211258,0.007275339,0.0058904733,0.03427664,-0.062399916,0.013430151,0.016357586,-0.0017043834,-0.0023298287,-0.011336273,0.1164555,-0.10826846,0.015276195,0.09848282,0.064168215,0.0008175473,0.13347253,0.01845215,0.27066118,0.012205446,0.0011200034,-0.0067747203,-0.003452291,0.10107442,0.013897976,-0.012972404,0.031651285,-0.98088515,0.087925985,-0.028608326,-0.007455759,0.035744432,0.0060658418,0.001334612,0.19046748,0.10532117,0.54172873,0.0013211115,0.2655867,-0.016116329
microbe_38,0.033318117,0.0026173156,-0.05107214,0.012057007,0.1854493,-0.0127458675,0.028714847,-0.0011483759,-0.046153653,-0.043858316,0.042612877,-0.02173347,-0.029424693,0.08025016,-0.0056516333,-0.040499482,-0.03262671,0.036654774,0.04368761,0.011599276,-0.01504586,0.020115627,0.03166901,0.12533267,0.030951882,-0.0411608,0.060370628,0.023494486,0.077577904,0.0015933466,-0.035774708,0.03074047,-0.053788885,0.012837275,-0.027236175,-0.03205228,-0.016749365,-0.36206228,-0.93776315,0.014200067,-0.016163737,-0.017933961,0.05630608,-0.02989365,-0.032718338,-0.020877257,0.13047297,0.02424125,0.30848402,-0.022508182
microbe_39,-0.009213984,-0.061148185,-0.03696838,-0.023184119,0.07715546,-0.020551993,-0.008287369,-0.017796412,-0.020184036,-0.030495135,-0.05775203,-0.017883383,-0.25695026,0.040238872,0.2600315,-0.01027491,0.0003924282,0.004127206,-0.024573773,0.005050191,0.0350648,-0.0062950095,-0.0042037494,-0.018172795,0.009127709,-0.01774275,0.037434783,-0.0030639253,0.100589834,-0.021549111,-0.0148272095,-0.0058797,0.25062984,-0.04058934,-0.025850376,-0.02555212,-0.0018391198,-0.015301395,0.019327512,-0.934684,-0.065531634,-0.0010433026,0.0013152733,-0.015651338,0.06083243,-0.13968863,0.049296148,-0.06403908,0.027666915,-0.021955537
microbe_40,-0.00435272,-0.06436488,-0.043026485,-0.022094496,0.13892251,-0.021011759,0.012874547,-0.018979726,-0.01931583,-0.022246199,-0.068771385,-0.014836565,-0.08231895,0.056489497,-0.0245931,-0.0067788656,0.008576599,0.010540443,-0.024863943,-0.020762635,0.06968168,0.0022326512,-0.028651087,-0.014399886,0.025731547,-0.017883765,0.05670731,0.004771964,0.15390985,-0.00759675,-0.013024309,-0.004520194,0.22666588,0.0219885,-0.0099487025,-0.017644595,0.006529175,0.0012859195,0.043227576,0.04917747,-0.96829057,-0.06933382,0.016125476,-0.015350806,0.10071392,0.025360895,0.14980347,-0.06208566,0.06254229,-0.022132458
microbe_41,0.011525507,0.00491001,-0.050203785,-0.011754074,0.18732439,-0.0115771415,0.035988268,-0.02506109,-0.010343453,-0.017213592,-0.009216169,-0.011302563,-0.25385335,0.08166474,-0.06901856,-0.0010717002,0.009777426,0.036541335,-0.0039966884,-0.01734795,0.087785274,0.006356246,0.017923836,0.0004528282,0.038509436,-0.040017154,0.11260216,0.03368793,0.14278047,-0.0032241787,-0.021983188,0.016176512,-0.10308019,0.06380465,0.0043425085,-0.030585883,0.015196582,-0.017321296,0.029372618,-0.21876489,-0.006164791,-0.9590931,0.050175384,-0.013339573,0.16711149,0.10476829,0.19470054,-0.0027646783,0.113478616,-0.01582828
microbe_42,0.0030533464,-0.0007592127,-0.062114354,-0.21294032,0.07559435,-0.0097994385,0.019724015,-0.010235189,0.0077042906,-0.004347389,0.0062257526,-0.03959181,0.0710928,0.055582874,0.017097034,-0.04022777,0.00491116,-0.045931127,-0.006998826,-0.00947022,0.043923214,0.0016347076,0.004742198,0.0035791865,0.025554625,0.028030809,0.048554536,-0.2265652,0.09060069,-0.018754872,-0.040827207,-0.018838827,-0.048687186,0.050302763,-0.03764541,-0.01666749,-0.0015424195,-0.029478718,0.0247251,-0.00024140457,-0.005088095,-0.04201628,-1.0059701,-0.060526725,0.1031457,-0.057035152,0.102423005,-0.0036326123,0.06304009,-0.014000996
microbe_43,0.029358588,0.003999409,-0.04797558,-0.016616149,0.32320154,-0.018419718,0.057989717,-0.032986637,-0.010961792,-0.060061656,0.042837787,0.00398033,0.028377848,0.11159728,-0.020989997,0.00898415,0.011302524,0.410038,-0.0058422205,-0.07283863,0.09029973,0.023109036,0.023372268,0.008382128,0.04413562,-0.067331776,0.13918713,0.026568566,0.22410616,0.016564474,-0.00046923338,0.030774912,-0.010698216,0.08220945,0.010287653,-0.009400019,0.038539678,0.017996855,0.11336838,0.0022928272,-0.0105123,0.019747268,0.13325506,-0.98331285,0.23806502,0.17058004,0.34003687,-0.0020749138,0.14900248,-0.021760877
microbe_44,0.013090843,0.020057518,-0.05405067,-0.05156244,0.048016805,-0.042999167,-0.023067424,-0.00954934,0.015880495,-0.054372527,0.014035612,-0.056041434,-0.05177552,0.0060941465,-0.020378377,-0.037112474,-0.05231318,0.057392884,-0.06806053,0.15990438,0.09583153,-0.008578154,0.02113403,0.110328,0.026977431,-0.043376915,0.04456771,0.020435553,0.059780743,-0.0033079586,-0.050503384,-0.0414842,-0.051493056,-0.036771916,-0.04968067,-0.052516125,0.006088047,-0.021876965,-0.17569049,0.03098801,-0.0047282614,-0.038784638,-0.0142194275,-0.050367624,-1.0150979,-0.06605043,0.14615282,0.02063582,-0.096091494,-0.045583755
microbe_45,0.0025568435,0.00064095017,-0.03817139,-0.0077025187,0.14551403,-0.011606415,0.025044136,-0.013441607,0.003935939,-0.0674471,0.012864793,-0.05769766,-0.050588638,0.018161543,-0.0120720435,0.0042022704,-0.051575836,0.0166939,0.005856231,-0.057346724,0.09719639,0.0024125515,-0.036335,0.16527243,0.0151947215,-0.05813338,0.06844989,0.012553194,0.09229422,0.021760639,-0.015210741,0.008030264,-0.06489236,0.01739516,0.028003631,-0.0024486606,0.02369582,-0.111567564,0.18476045,0.0019247597,-0.056836855,-0.051938415,0.015598014,-0.053029038,0.04843469,-1.0038266,0.0648448,0.0007584917,-0.15945144,-0.04559953
microbe_46,0.0019605495,0.30125126,-0.063368246,-0.059958097,-0.092270665,-0.05219531,-0.031814225,-0.018167399,-0.037414998,-0.056991737,0.0036021662,-0.052004386,-0.05386312,0.015515253,-0.047137197,-0.062232345,-0.050734885,0.08982941,0.008879131,-0.044949893,0.05829025,-0.009394852,-0.04631032,-0.0018635246,0.030489204,0.06889145,0.028480694,0.007973097,0.049512293,-0.03347118,-0.051860545,-0.022133298,-0.05755813,0.08699816,-0.055286802,-0.055010084,-0.15726721,-0.053995878,0.038424697,-0.029582324,-0.050627418,0.050275084,-0.025195556,-0.05333363,0.029079845,0.027692502,-0.96779126,-0.050104246,-0.001540594,0.030876696
microbe_47,-0.0099999,-0.05959346,-0.041690823,-0.023150377,0.06508322,-0.02137471,0.0017616975,-0.021285562,-0.019629635,-0.025353936,-0.22320849,-0.016547676,0.026201982,0.042856276,0.15476133,-0.011111192,-0.16293094,0.0050247554,-0.025972735,-0.020959545,0.034998987,-0.008323028,-0.062427573,-0.0154089555,0.010605929,-0.022590522,0.035224218,-0.0010222797,0.11740394,-0.016307777,-0.017003218,-0.00884119,-0.021915805,-0.001673243,-0.01607214,-0.022634672,0.0020413622,-0.0059592263,0.032399625,-0.010812442,0.25569147,-0.01329284,0.00047754374,-0.019772327,0.07047436,0.013654951,0.13095625,-0.94788355,0.04021206,-0.02423293
microbe_48,-0.005695261,-0.008236265,-0.018787732,-0.012314571,-0.016090717,-6.6953835e-05,-0.07528953,0.007215916,-0.07327688,-0.013730719,0.005160452,-0.012298024,-0.01065191,-0.053366285,-0.044935193,-0.07554142,-0.011793764,-0.011129548,-0.002781438,-0.0114484625,-0.051433872,-0.07425832,-0.010202939,-0.07002048,0.16382365,-0.008185799,-0.015824286,-0.07062481,-0.14805882,0.33628216,-0.012159096,-0.011766436,-0.011376884,-0.015524999,-0.07220437,-0.015482142,-0.0705964,-0.05867995,-0.069588386,-0.049004793,-0.011133957,-0.013760097,-0.065469965,-0.013114101,-0.009484722,-0.0073444587,-0.0036945865,-0.01405915,-0.9833512,-0.010833195
microbe_49,0.010490727,-0.0033535801,-0.04220466,-0.015467191,0.23073564,-0.01827128,0.031264186,-0.02701033,-0.014041979,-0.015558367,-0.043757018,0.036565065,0.0051822076,0.05957726,-0.0145760765,0.0082195215,-0.0009008589,0.0340183,-0.014999669,-0.019321632,0.07998964,0.009202577,0.009928967,0.20626703,0.027711378,-0.064649716,0.08378165,0.019562509,0.1842836,0.0014579245,-0.0063374355,-0.032253593,-0.019901874,0.037096355,-0.0042567747,-0.014974536,0.026132135,0.005168271,0.072473526,-0.010645428,-0.017599713,-0.04786539,0.030777251,-0.010874209,0.14716229,0.064222395,0.0912541,-0.007005828,0.04685716,-1.009007
