,microbe_0,microbe_1,microbe_2,microbe_3,microbe_4,microbe_5,microbe_6,microbe_7,microbe_8,microbe_9,microbe_10,microbe_11,microbe_12,microbe_13,microbe_14,microbe_15,microbe_16,microbe_17,microbe_18,microbe_19,microbe_20,microbe_21,microbe_22,microbe_23,microbe_24,microbe_25,microbe_26,microbe_27,microbe_28,microbe_29,microbe_30,microbe_31,microbe_32,microbe_33,microbe_34,microbe_35,microbe_36,microbe_37,microbe_38,microbe_39,microbe_40,microbe_41,microbe_42,microbe_43,microbe_44,microbe_45,microbe_46,microbe_47,microbe_48,microbe_49
microbe_10,-0.00025786553,-0.06481417,-0.043563846,-0.00815501,0.09266818,-0.027412912,-0.011240203,-0.009009583,-0.022830034,-0.012936476,-1.0171735,-0.016478894,-0.20847836,0.04033778,0.08093398,0.002356493,-0.0003189458,0.011384177,-0.010135052,-0.013940007,0.04467655,0.0117011145,0.0013142148,-0.05241616,-0.0100667225,-0.05498975,0.040323697,0.03267105,0.07202109,-0.038077362,-0.025987018,-0.035924885,-0.038614642,0.014729086,-0.0049648527,-0.022460908,-0.043116968,-0.029559603,-0.02838827,0.06811853,0.0063004037,0.03932742,0.017261883,-0.03327229,0.06815182,-0.015762316,0.072616234,-0.006550459,0.061217036,-0.051797647
microbe_11,0.025948815,0.00087851076,-0.051405247,-0.0073523736,0.3571507,-0.01711869,0.06618368,-0.038650364,-0.0106981285,-0.020216431,0.020217892,-0.9830032,-0.04808218,0.08496398,-0.0142644225,0.015943894,0.0061218073,0.04200778,-0.0066982037,-0.031120209,0.102775335,0.031496104,0.014181036,0.14791338,0.051052805,0.002657847,0.12323604,0.044969123,0.25075883,0.020251203,0.0015472162,0.044857517,-0.015137162,0.09096954,0.009953217,-0.007842288,0.039270107,0.02584924,0.13296357,0.013207709,-0.012250305,0.03252071,0.06325223,-0.012060468,0.37370497,0.20849729,0.35574237,-0.0058545726,0.16528812,-0.06584942
microbe_12,0.016680893,-0.062340043,-0.038537905,-0.0068289465,0.25304925,-0.013135363,0.04743137,-0.02402259,-0.008440217,-0.060704228,0.0074881506,0.002920982,-0.99441904,0.033593796,-0.05788389,0.0033476348,-0.04635852,0.032138765,-0.0024110302,-0.07864692,0.062109116,0.011927122,-0.052144516,0.1099158,0.039883025,0.062158752,0.07791998,-0.025541011,0.1572412,0.010071537,-0.0008573283,-0.2116835,-0.0023009193,0.07596235,0.006433728,-0.0074449885,0.025623195,0.017468257,0.09428805,0.006319549,-0.003629072,0.032191403,-0.011444696,-0.00431249,0.1803284,0.034932647,0.26942626,-0.05723933,0.10620321,-0.0165086
microbe_13,-0.04469306,-0.003939168,-0.06447079,0.017045476,0.006896189,-0.046057954,-0.025919529,0.028272161,-0.061248034,-0.0547438,0.024704251,-0.021313293,-0.0056745755,-1.052556,-0.009183483,-0.041129574,-0.049307324,0.035033397,-0.044875126,0.0055948338,0.05561932,-0.058688626,0.0035698728,-0.10589238,0.07233595,-0.041080024,0.013353311,0.011408154,0.03009435,-0.05301009,-0.058790717,-0.056305405,-0.048846167,0.002202305,0.009571167,-0.039962552,-0.051460393,-0.003809162,-0.05214671,0.0070968815,-0.02614575,-0.05564271,0.061185632,-0.047980547,0.022288445,0.019517513,0.005730543,-0.00041108765,0.0515445,0.0061327205
microbe_14,-0.003988129,-0.060697038,-0.034768414,-0.015249748,0.13281539,-0.01653534,0.015969312,-0.027610883,-0.0138212135,-0.2647295,-0.052935604,-0.00932358,0.3160886,0.030145949,-0.93587565,-0.00375559,0.005538889,-0.122685954,-0.015031595,0.24932496,0.04997778,-0.007500445,0.006953963,-0.011290267,0.014422764,-0.014430295,0.042627066,0.007596443,0.10551013,-0.004952021,-0.010389133,0.004077515,-0.07050732,0.028123604,-0.0076316465,-0.01487423,0.0031154207,-0.0010533278,0.03743757,-0.05572575,-0.06257814,0.01473124,0.01158772,-0.012170352,0.108099826,-0.036763307,0.13358365,-0.065238565,0.058018547,-0.018702216
microbe_15,0.0028888683,0.007355871,-0.045767218,0.0024105113,0.28880736,-0.013827646,0.06170309,-0.03169854,-0.0055891583,-0.0060852556,0.011664636,0.008997253,-0.0034259537,0.064938605,-0.0016288239,-0.9850732,0.018102901,0.053663284,0.017436821,-0.029664472,0.003933642,-0.016400218,0.00090947014,-0.044823717,0.0549999,-0.009231993,0.30762783,-0.018131211,0.243023,0.11714015,0.008163521,0.04453563,-0.009617214,0.061318483,0.02688991,-0.0029365355,-0.041171875,0.036924493,0.091373295,0.0073780487,-0.00594487,0.03281045,0.00030364466,0.0021537428,0.2780835,0.041948587,0.13387832,-0.0036797521,0.3429107,-0.06486904
microbe_16,0.0074817757,0.012712109,-0.04396733,-0.019903138,0.21429148,-0.01745666,0.026217407,-0.028750798,-0.015103403,-0.01993143,-0.17293063,-0.0058970097,0.023032019,0.07872628,-0.14605595,0.0003986772,-0.96481496,0.029549044,-0.010314278,-0.02348291,0.08675617,0.034119587,-0.052076336,-0.004611749,0.027261587,-0.016167,0.12012777,0.022645772,0.15472056,-0.006252214,-0.010847024,0.012998832,-0.034055285,0.026591474,-5.601742e-05,-0.021101376,0.019816725,-0.0018566852,0.06511082,-0.1284764,-0.13849936,0.003739657,0.027271438,-0.010498746,0.17551352,0.06682589,0.24983303,-0.0044328477,0.11677912,-0.022866808
microbe_17,0.005448095,-0.0014784911,-0.046494097,-0.037203826,0.1801507,-0.002318485,0.0017249219,-0.003513759,-0.022330754,-0.06250841,0.004119321,-0.017877879,-0.016254336,0.050102122,-0.011695899,-0.021992104,-0.054925837,-1.0436718,0.00048160204,-0.0072613107,0.044143014,-0.007520874,-0.040884446,-0.05881023,0.013793671,-0.049323853,0.046658225,0.008131392,0.08417163,0.0118510425,-0.02999139,0.014947638,-0.04574535,-0.010431061,-0.021507606,-0.03410527,0.015431151,-0.026955487,0.045667283,0.0032314418,0.00078630284,-0.04965247,0.078173794,-0.062497728,0.09952953,0.0031689773,0.11419999,-0.0036474601,0.059569813,-0.032345872
microbe_18,-0.100319736,-0.0007226015,-0.046575144,-0.025605625,0.17695038,-0.0149427205,0.02806356,-0.03235939,-0.018726144,-0.019557916,0.010258391,-0.0056621963,-0.006386256,0.030626906,-0.019481104,-0.024561869,-0.014095484,0.025984153,-0.96213883,-0.02289278,0.22396587,-0.012087097,0.0051695947,0.0017973405,0.023768008,-0.012855539,0.081698135,0.014754594,0.14146563,-0.013157932,-0.010923422,-0.016597623,-0.02889852,0.026830174,-0.22561719,-0.027318379,0.033071626,0.0031180792,0.089488015,0.0070709144,-0.015043417,-0.0064371205,0.013848516,-0.010857694,0.19431265,0.057144158,0.18154511,-0.005997961,0.093638025,-0.012828348
microbe_19,-0.0147379115,-0.072522655,-0.031984717,-0.022476297,0.05937215,-0.021097383,-0.0062460275,-0.022444885,-0.023051783,0.1550979,-0.07456306,-0.016147362,0.122402154,0.011457078,-0.07254737,-0.013432615,-0.0074509624,-0.17761627,-0.02061374,-0.9620965,-0.00085640413,-0.019507999,-0.010226292,-0.016948964,0.0002362132,-0.01934115,0.010590207,-0.0074475133,0.06393041,-0.015860885,-0.017041693,-0.01306754,-0.015640117,-0.0054087015,-0.01680877,-0.019789258,-0.0067153666,-0.012357547,0.011333041,-0.068220064,-0.01934141,-0.004003578,-0.004963734,0.03931627,0.041660774,-0.007794188,0.035129372,-0.07271034,0.019863904,-0.02173659
microbe_20,0.10633571,-9.0970556e-05,-0.04990698,-0.064028405,0.014914794,-0.029087195,-0.025306232,0.0021455637,0.052073836,-0.058182493,0.003475205,-0.052357107,0.026430974,-0.028040374,-0.004545203,-0.07494419,-0.06300391,0.15713722,0.11289795,0.04443599,-0.98323315,-0.007093544,-0.02242704,-0.0049925144,0.010801427,-0.053172752,0.06932163,-0.0012183547,0.03907433,-0.048750743,-0.047517464,-0.06400506,-0.054959286,-0.038728092,-0.062862515,-0.05453499,0.0041144392,-0.06129214,-0.0015131424,0.011498543,-0.051287193,-0.067416176,0.021740798,-0.051465698,0.007971065,-0.027248763,0.010441856,0.007952013,-0.15180393,-0.021017466
microbe_21,-0.0020708947,-0.015415842,-0.024734305,-0.018604247,0.02069288,-0.018108053,-0.016299268,-0.02953415,-0.015896231,-0.034424037,0.00061667955,-0.031585682,-0.022605242,0.047603756,-0.02352665,-0.031073583,-0.064066954,-0.005081668,-0.006357456,-0.015109351,0.034893844,-1.0515617,-0.009686752,-0.006083032,-0.0049655116,-0.043584213,-0.05032415,-0.008410317,0.035841197,-0.012444106,-0.022235494,-0.008698945,-0.029228214,-0.032346215,-0.0128883105,-0.060325038,0.019112209,-0.009425968,-0.055576075,-0.014372489,-0.023950914,-0.0102490755,-0.009550887,-0.023094779,0.016757963,-0.05558139,-0.10765556,-0.015454212,0.061684903,-0.027366206
